pais,categoria,empresa,marcas,lineas_negocio,direccion,ciudad,provincia,telefono,web
Ecuador,Importador,RECORDMOTOR S.A.,Honda; Volkswagen,"Importador Vehículos, repuestos y servicios Honda - Comercializador marca Volkswagen","Av. El Inca E2-14, entre Amazonas y 10 de Agosto",Quito,Pichincha,2414506/ 22414509/ 22485189,www.recordmotor.ec
Ecuador,Importador,ROSATIMOTORS,,Importador y venta de vehiculos marca Maserati,,Quito,Pichincha,,
Ecuador,Importador,SALCEDO MOTORS S.A,Sinotruk,"Comercialización de Camiones y Buses SINOTRUK. Maquinaria, Equipo Caminero y Agricola Sany","Km 15.5 vía a Daule, frente a Big Cola",Guayaquil,Guayas,04 2597220,www.salcedomotors.com
Ecuador,Importador,TEOJAMA COMERCIAL S.A.,Daihatsu; Hino,Distribuidor de Vehículos y repuestos marca Hino y Daihatsu,MATRIZ: Av. Galo Plaza Lasso N47-137 y Psje. Los Cactus,Quito,Pichincha,2400500,www.teojama.com
Ecuador,Importador,TOYOTA DEL ECUADOR S.A.,Toyota,"Importador de vehículos, repuestos y accesorios Toyota",MATRIZ: Galo Plaza Lasso N69-309 y Sebastián Moreno,Quito,Pichincha,PBX 3962-500,www.toyota.com.ec
Ecuador,Importador,VEHICENTRO Vehículos y Camiones Centro Sierra S.A.,Jac; Sinotruk,"Importador y comercializa automoviles y vehiculos comerciales marcas JAC, Sinotruk y repuestos y accesorios",AV. INDOAMERICA KM.3 1/2,Ambato,Tungurahua,32854185 032450907,
Ecuador,Importador,Enranger,,"Vehículos, repuestos y talleres marca ENRANGER",Cuenca: Av. Gil Ramírez Dávalos 14-34 y Turuhuico,Cuenca,Azuay,072865001,www.enranger.com.ec
Ecuador,Importador,Enranger,,Importador de vehículos,Juan Dibuja OE1-82 y Vozandes,Quito,Pichincha,02-3980720,
Ecuador,Concesionario,AEKIA S.A.,Kia,"Importa vehículos, repuestos y talleres marca KIA MOTORS",Av. 10 de Agosto N31-162 y Mariana de Jesus,Quito,Pichincha,2548813,
Ecuador,Concesionario,ALVAREZ BARBA S.A.,Bmw,COMERCIALIZACIÓN Y TALLER POSTVENTA DE AUTOS Y MOTOCICLETAS BMW Y PORSCHE,MATRIZ: AV. 10 DE AGOSTO N51-97 Y ALGARROBOS - Quito,Quito,Pichincha,02 2410760 02 2410761 02 2410762,www.bmw.com.ec
Ecuador,Concesionario,AMBACAR CIA. LTDA.,Jmc,"VENTA DE GREAL WALL, CAMIONES JMC, REPUESTOS REAT WALL-JMC Y TALLERES Y SERVICIOS",MATRIZ: Av. Indoamerica km 1/2,Ambato,Tungurahua,1700 262 222,
Ecuador,Concesionario,AUTEC S.A.,Land Rover,"Venta de camiones Kenworth, Daf, chasises de bus Agrale, furgonetas Ventura, vehículos Land Rover, servicio de post venta y repuestos.",MATRIZ: PANAMERICANA NORTE KM 6 Y JUAN BARREZUETA,Quito,Pichincha,2807-830,www.autec.ec
Ecuador,Concesionario,AUTOFENIX S.A,Fiat; Mazda; Ram,"Comercializa vehiculos marcas Mazda, Fiat, Jeef, Dodge y Ram","AV. GENERAL RUMIÑAHUI 328 E ISLA ESPAÑOLA, SAN RAFAEL",Quito,Pichincha,4007500 4007515 4007528,
