pais,dealer_id,dealer,ciudad,provincia,direccion,vehiculos,rating,reviews,url
Ecuador,1393,Autopremium Matriz,Quito,Pichincha,Av.Galo Plaza Lasso y de los Cedros Esquina Diagonal a Servientrega,24,,,https://ecuador.patiotuerca.com/dealers-profile/autopremium-matriz/1393
Ecuador,1145,Autopremium Seminuevos,Quito,Pichincha,Calle de los cedros y Av. Galo Plaza Lasso esquina.,26,,,https://ecuador.patiotuerca.com/dealers-profile/autopremium-seminuevos/1145
Ecuador,1589,Autoprime,Quito,Pichincha,10 DE AGOSTO E ISABEL TOBAR,15,,,https://ecuador.patiotuerca.com/dealers-profile/autoprime/1589
Ecuador,1530,Autos Chango,Quito,Pichincha,AV MARISCAL SUCRE S/N QUITO 170705,67,,,https://ecuador.patiotuerca.com/dealers-profile/autos-chango/1530
Ecuador,1421,Autos Cumbayá,Quito,Pichincha,"CUMBAYÁ, GALO PLAZA LASSO N74-258 Y JUAN DE CELIS",66,,,https://ecuador.patiotuerca.com/dealers-profile/autos-cumbaya/1421
Ecuador,134,Autos Juan Serrano,Cuenca,Azuay,HÉROES DE VERDELOMA Y LUÍS CORDERO,81,,,https://ecuador.patiotuerca.com/dealers-profile/autos-juan-serrano/134
Ecuador,1334,Autos MB,Quito,Pichincha,De los Arupos E1-66 y Av. Galo Plaza Lasso,10,,,https://ecuador.patiotuerca.com/dealers-profile/autos-mb/1334
Ecuador,1288,Autos Plaza,Quito,Pichincha,SAN JUAN SELVA ALEGRE OE3-279 Y RUIZ DE,17,,,https://ecuador.patiotuerca.com/dealers-profile/autos-plaza/1288
Ecuador,1167,Autos Quito,Quito,Pichincha,AV. GALO PLAZA LASSO N74-142 Y JOAQUIN MANCHENO ( FRENTE A WESCO),130,,,https://ecuador.patiotuerca.com/dealers-profile/autos-quito/1167
Ecuador,1570,Autos Quito 10 de Agosto,Quito,Pichincha,AV GALO PLAZA LASSO Y JOAQUIN MANCHENO,134,,,https://ecuador.patiotuerca.com/dealers-profile/autos-quito-10-de-agosto/1570
Ecuador,1378,Autos Quito Sucursal,Quito,Pichincha,ELOY ALFARO Y GRANADOS,74,5,1,https://ecuador.patiotuerca.com/dealers-profile/autos-quito-sucursal/1378
Ecuador,516,Autos Vehículos ML,Cuenca,Azuay,Av. España 7-70 y Sevilla,27,,,https://ecuador.patiotuerca.com/dealers-profile/autos-vehiculos-ml/516
Ecuador,1587,AutosDR,Quito,Pichincha,"Capitan Alfonso Yepez, y Av. Galo Plaza Lasso.",34,,,https://ecuador.patiotuerca.com/dealers-profile/autosdr/1587
